__label__社会 , 日本 で 最も 面積 が 大きい 市 は ○ ○ 市 ？ ○ の 漢字 を ひ ら が なで 答え なさい た か や ま 
__label__社会 , 次 の うち 一般 の 会社 の 役職 名 に ある もの を 全て 選び なさい 社長 冗長 課長 部長 
__label__社会 , 離婚 手続 が 簡単 な こと で も 知ら れ て いる アメリカ の 街 です ラスベガス 
__label__社会 , 東京 商科 大学 を 前身 と する 日本 の 国立 大学 は 一橋大学 で ある 
__label__社会 , 「 世界 の 首都 」 ニューヨーク は 一時期 アメリカ合衆国 の 首都 だっ た こと が ある 
__label__社会 , 救世観音 像 を 本尊 と する 法隆寺 東院 の 八角 堂 の 名前 は ○ ○ ？ ○ の 漢字 を ひ ら が なで 答え なさい ゆめ どの 
__label__社会 , オーストラリア の 首都 は キャンベラ です が ニュージーランド の 首都 は ○○○○○○？○ を 答え なさい ウェリントン 
__label__社会 , 次 の 国 を 国旗 に 星 が 描か れ て いる か 否 か で グループ 分け し なさい 描か れ て いる 描か れ て い ない 【 4 】 シンガポール リビア タイ 
__label__社会 , 高校 野球 の 名門 校 として も 有名 な 青森 県 の 光 星 学院 高校 の 2013 年度 から の 新しい 校 名 は 「 ○ ○ ○ ○ ○ ○ 高校 」 ？ 八戸 学院 光 星 
__label__社会 , 主 に ブラジル 高原 に 多く 分布 し コーヒー の 栽培 に 適する 玄武岩 質 で 排水 良好 な 赤 紫色 の 土 を テラ ○ ○ ○ ○ という ？ ローシャ 
__label__社会 , 2011 年 に 国民 栄誉 賞 を 受賞 し た なでしこ ジャパン の メンバー に 贈ら れ た 「 熊野 筆 」 は 和歌山 県 の 伝統 工芸 品 で ある 
__label__社会 , 人口 の 一定 基準 を 割り込む と 市 が 町 に 降格 する こと が ある 
__label__社会 , マカオ が ポルトガル から 中国 に 返還 さ れ た の は 西暦 何 年 ？ 1999 
__label__社会 , 北海道 で 人口 が もっとも 多い 都市 は 札幌 市 です が 九州 で 人口 が もっとも 多い 都市 は ○ ○ 市 ？ ○ の 漢字 を ひ ら が なで 答え なさい ふくおか 
__label__社会 , 日本 の 「 歩行 者 専用 道路 」 の 交通 標識 に 描か れ て いる 人 の 数 は 1 人 で ある 
__label__社会 , 原子力 安全 ・ 保安 員 など を 再編 し 9 月 まで に は 設置 さ れる 、 環境省 の 外局 は 「 原子力 ○ ○ 委員 会 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい き せい 
__label__社会 , アメリカ に ある 世界 的 な 大学 で 略称 を 「 MIT 」 という の は ○○○○○○○○ 工科 大学 ？ マサチューセッツ 
__label__社会 , 韓国 の 文字 ハングル は 世界 遺産 に 登録 さ れ て いる 
__label__社会 , 標高 3193 m と 、 日本 で 2 番目 に 高い 山 は 「 白根山 ○ 岳 」 ？ 北 西 中 東 
__label__社会 , 日本武道館 の 屋根 の 形 は 八 角形 で ある 
__label__社会 , 国鉄 スワローズ の 設立 者 で も ある 日本 国有 鉄道 の 総裁 です 加賀山 之 雄 
__label__社会 , ヴュルツブルク と フュッセン を 結ぶ ドイツ の 有名 な 観光 ルート は ？ ロマンチック 街道 
__label__社会 , 領海 を 測定 する 基準 と なる の は 海岸 の 干潮 線 で ある 
__label__社会 , 神戸 市 の 繁華 街 に 位置 する 阪急電鉄 の 駅 は 「 三ノ宮 駅 」 で ある 
__label__社会 , 兄 は 青 の 、 弟 は 赤 の オーバー オール を 着 て いる 東京 タワー の マスコットキャラクター は ？ ( 4 文字 ) ノッポン 
__label__社会 , カリブ海 の 島国 、 トリニダード・トバゴ で 最も 面積 が 大きい 島 は トバゴ 島 で ある 
__label__社会 , バランスシート を 日本語 で いう と 「 ○ ○ 対照 表 」 ？ 貸借 
__label__社会 , 森 喜朗 内閣 において 大臣 を 務め た 女性 を フルネーム で 1 人 答え なさい おお ぎちかげ か わ ぐち よりこ しみず か よ こ 
__label__社会 , エリブルス ダウラギリ マウナケア モンブラン 険しい 山 緑 の 山 輝く 山 白い 山 
__label__社会 , 東京 都 江東 区 の 南西 部 に ある 地名 です 青海 
__label__社会 , 次 の 新聞 を 、 発行 部数 の 多い 順 に 選び なさい 朝日新聞 読売新聞 日本経済新聞 毎日新聞 
__label__社会 , 2010 年 に アメリカ の 政府 関係 者 として 初めて 広島 平和 記念 式典 に 出席 し た 駐 日 大使 は ？ ジョン ・ ルース 
__label__社会 , 東京 都庁 が 位置 する の は 東京 都 新宿 区 で ある 
__label__社会 , 1994 年 9 月 4 日 に 開港 し た 大阪 ・ 泉州 沖 に 作ら れ た 空港 は ○ ○ 国際 空港 ？ ○ の 漢字 を ひ ら が なで 答え なさい かん さい 
__label__社会 , ドイツ 西部 に 位置 する 工業 都市 で 中世 より 良質 の 刃物 の 生産 地 として 有名 な の は ？ ( 6 文字 ) ゾーリンゲン 
__label__社会 , 核 爆発 によって 発生 する キノコ 雲 の こと を 英語 で は マッシュルームクラウド という 
__label__社会 , 次 の うち 、 北九州 工業 地帯 が 広がっ て いる 県 を 全て 選び なさい 福岡 県 大分 県 宮崎 県 
__label__社会 , 2011 年 10 月 31 日 に 記録 し た 円 相場 における 対 ドル の 戦後 最 高値 は 1 ドル いくら ？ 75 円 32 銭 
__label__社会 , 首都 だっ た ペルー の 都市 ・ クスコ は 世界 遺産 に も なっ て いる 、 15 ～ 16 世紀 にかけ 南米 で 栄え た 帝国 は ○ ○ ○ 帝国 ？ ○ を 答え なさい インカ 
__label__社会 , 謎 の 生物 ・ クッシー が 棲む と いわ れる 北海道 の 湖 は クッチャロ湖 で ある 
__label__社会 , ブラジル や タンザニア が 主 産地 で 船舶 用 ロープ や 包装 用材 に なる 麻 は ○ ○ ○ ○ 麻 ？ サイザル 
__label__社会 , 京都 を 代表 する 祭り で 毎年 7 月 に 行わ れる の は 祇園祭 で ある 
__label__社会 , 次 の モノレール の 走行 方式 と それ が 開発 さ れ た 国 の 正しい 組み合わせ を 選び なさい アルヴェーグ 式 ランゲン 式 東芝 式 日本 アメリカ ドイツ 
__label__社会 , [ 画像 問 ] 次 の 駅弁 と その 駅弁 が 人気 の 駅 の 正しい 組み合わせ を 選び なさい （ 牛肉 ど まん中 ） （ 峠 の 釜めし ） （ いかめし ） 横川 駅 森 駅 米沢 駅 
__label__社会 , 東西ドイツ が 統一 し た の は 1980 年代 の こと で ある 
__label__社会 , 1970 年 に ノーベル 経済 学賞 を 受賞 し た 、 アメリカ の 経済 学者 です サミュエルソン 
__label__社会 , 日付変更線 を 西 から 東 へ 越える と 日付 が 1 日 進む 
__label__社会 , アメリカ合衆国 で 有数 の 大都市 ロサンゼルス の 、 英語 や スペイン 語 で の 略称 は 「 ○ ○ 」 ？ ○ を 答え なさい LA 
__label__社会 , 1792 年 の 大 地震 で でき た 長崎 県 島原 市 に ある 島々 九 十 九 島 
__label__社会 , 南米 大陸 に ある 国 です アルゼンチン 
__label__社会 , 日本 の 一般 的 な パスポート で 最も 有効 期限 が 長い もの は 10 年 で ある 
__label__社会 , 国土 地理 院 の 地図 記号 で 「 ◎ 」 で 表記 さ れる の は 市役所 で ある 
__label__社会 , 日本 の 2 桁 の 国道 の 中 で その 数 が 最も 大きい 、 鹿児島 市 から 那覇 市 へ と 至る 道 は 国道 ○ ○ 号線 ？ ( 2 文字 ) 58 
__label__社会 , 普通 の 新聞紙 の 半分 の 面積 の 紙面 を 持つ 新聞 の サイズ を ○ ○ ロイド 判 という ？ ○ を 答え なさい タブ 
__label__社会 , 国民 ・ 厚生 年金 の 被 保険 者 に対し 受給 見込み など を 年 1 度 通知 する 文書 は 「 ねん きん ○ ○ ○ 」 ？ 定期 便 
__label__社会 , 日本 の 都市 で 大和 市 が ある の は ？ 神奈川 県 東京 都 栃木 県 群馬 県 
__label__社会 , 毎年 7 月 の 牛追い 祭り が 有名 な スペイン 北部 の 都市 パンプローナ 
__label__社会 , 多く の 観光 客 が ここ に コイン を 投げ入れる 、 イタリア ・ ローマ の 観光 名所 は 「 ○ ○ ○ の 泉 」 ？ ○ を 答え なさい トレビ 
__label__社会 , [ 画像 問 ] 次 の うち 「 埼玉 スタジアム 2002 」 は どっち ？ （ A . 屋根 の ズームアウト | B . 屋根 の ズームアップ ） 
__label__社会 , 標高 8167 m ディムベルガー ら が 初 登頂 「 白い 山 」 という 意味 世界 第 7 位 の 高 さ の 山 ダウラギリ ゴサインタン マカルー アンナプルア 
__label__社会 , 次 の 交通 標識 を 使わ れ て いる 色 ごと に グループ 分け し なさい 青色 赤色 一 時 停止 専用 通行 帯 停車 可 
__label__社会 , 日本国 憲法 の 第 1 章 は 「 国会 」 で ある 
__label__社会 , 店舗 の 後方 に 設け られ た 作業 用 スペース の こと です バック ヤード 
__label__社会 , 2012 年 8 月 に 愛知 県知事 ・ 大村 秀章 が 設立 し た 政治 団体 は 「 ○ ○ 維新 の 会 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい ち ゅうきょう 
__label__社会 , 福井 県 の 断崖絶壁 、 東尋坊 は 東尋坊 という お 坊さん に ちなん で 命名 さ れ た 
__label__社会 , 次 の お 祭り を それ が 行わ れる 都道府県 ごと に グループ 分け し なさい 兵庫 県 奈良 県 三重 県 浜島 伊勢 えび 祭 赤穂 浪士 祭 出石 だんじり 祭 お 水 取り 
__label__社会 , 中央 アメリカ の 国 エルサルバドル の 首都 は サンサルバドル です が ホンジュラス の 首都 は ○○○○○○？○ を 答え なさい テグシガルパ 
__label__社会 , 「 ぢ 」 と 書か れ た 広告 で 有名 な 大阪 市 に 本社 を 置く 、 痔 の 薬 を 専門 に 扱う 会社 は ○ ○ ○ 大黒 堂 ？ ○ を 答え なさい ヒサヤ 
__label__社会 , 2011 年 12 月 より 博多 ― 大宮 間 で 運行 さ れ て いる 、 片道 1170 km と 日本 最長 距離 を 走る 路線 バス は ホークス エクスプレス で ある 
__label__社会 , 政府 ・ 企業 ・ 個人 など の 活動 を 集計 し た 、 一 国 の 経済 全体 を 扱う 経済 学 の 一 分野 は ○ ○ ○ 経済 学 ？ ○ を 答え なさい マクロ 
__label__社会 , 新幹線 の 車両 1997 年 に 登場 JR 西日本 が 自社 用 に 開発 先 頭部 が 極端 に 尖っ た 形状 800 系 500 系 100 系 0 系 
__label__社会 , 文部 科学 省 が 運用 する 緊急 時 迅速 放射能 影響 予測 ネットワーク システム を 何 という ？ SPEEDI 
__label__社会 , 牡蠣 の ブランド 、 的矢 かき に 名 を 残す 「 的矢湾 」 が ある 都道府県 は ？ ひ ら が なで 答え なさい みえ けん 
__label__社会 , 1990 年 に スタート し た 、 大学 の 試験 に 先立ち 全国 一斉 に 行わ れる 共通 テスト は 「 大学 入試 ○ ○ ○ ○ 試験 」 ？ ○ を 答え なさい センター 
__label__社会 , 現在 、 試験 走行 実験 が 行わ れ て いる JR の リニアモーターカー に は 車輪 が 付い て いる 
__label__社会 , 1991 年 に 茨城 県 に 日本 1 号 店 が でき た 、 アメリカ 最大 の 玩具 チェーン は 「 ○ ○ ○ ら ス 」 ？ ○ を 答え なさい トイザ 
__label__社会 , 国連 が 紛争 の 防止 や 停戦 の 監視 の ため に 行う PKO を 日本語 で 言う と ？ 国連 平和 維持 活動 
__label__社会 , 神社 で 、 参拝 者 が 手 や 口 を 清める 建物 を 何 という ？ 手水 舎 
__label__社会 , 古代 文明 青 と 白 世界 最長 河口 は エジプト 長江 ミシシッピ 川 黄河 ナイル 川 
__label__社会 , コンビニエンスストア が 誕生 し た 国 は アメリカ合衆国 で ある 
__label__社会 , キュリー 夫人 の ノーベル 賞 受賞 100 年 目 に ちなみ 国際 連合 が 2011 年 に対して 定め た 国際 年 は ？ 世界 化 学年 世界 地学 年 世界 生物 年 世界 物理 年 
__label__社会 , 日本 の 都道府県 を 五十音 順 に 並べる と ちょうど 真ん中 は 東京 都 で ある 
__label__社会 , 日本 の 都道府県 の 数 は 全部 で いくつ ？ ( 2 文字 ) 47 
__label__社会 , 現在 の アメリカ 大統領 は バラク・ ○○○？○ を 答え なさい オバマ 
__label__社会 , 次 の 外務省 が 発表 し て いる 「 海外 危険 情報 」 を より 危険 な 順 に 選び なさい 十分 注意 し て ください 渡航 の 是非 を 検討 し て ください 退避 を 勧告 し ます 渡航 の 延期 を おすすめ し ます 
__label__社会 , ハワイ 諸島 の 島 で 「 ビッグアイランド 」 と 呼ば れる の は ハワイ 島 です が 「 庭園 の 島 」 と 呼ば れる の は ○ ○ ○ ○ 島 ？ ○ を 答え なさい カウアイ 
__label__社会 , 次 の うち 、 主 に アジア に 住む 民族 を 全て 選び なさい マジャール 人 アイヌ 人 ベルベル 人 
__label__社会 , 山 そのもの が 御 神体 と なっ て おり 別名 「 日光 富士 」 と 呼ば れ て いる 標高 2486 m の 山 は ？ ( 3 文字 ) 男体山 
__label__社会 , 2011 年 12 月 より 博多 ― 大宮 間 で 運行 さ れ て いる 、 片道 1170 km と 日本 最長 距離 を 走る 路線 バス は ライオンズ エクスプレス で ある 
__label__社会 , シベリア 鉄道 の 東 の 起点 で ある 駅 が ある の は ○○○○○○○？○ を 答え なさい ウラジオストク 
__label__社会 , モヤイ 像 が ある の は 東京 都 渋谷 駅 の 南口 で ある 
__label__社会 , 独立 運動 の 中心 勢力 に なっ た 南米 生まれ の ヨーロッパ 系 人 クリオーリョ 
__label__社会 , 日本 の 国立 公園 と 国定 公園 は ともに 環境省 が 管理 し て いる 
__label__社会 , 極北 地帯 に 住ん で い ます イヌイット 
__label__社会 , 日本 で 「 中央 アルプス 」 と 呼ば れる の は ○ ○ 山脈 ？ ○ の 漢字 を ひ ら が なで 答え なさい き そ 
__label__社会 , 次 の 文字 列 を 順に 選ん で 南 アメリカ大陸 最高峰 の 名前 に し なさい グア カ ア コン 
__label__社会 , 次 の キリスト教 の 行事 と その 英語 で の 名称 の 正しい 組み合わせ を 選び なさい 復活 祭 降誕祭 謝肉祭 カーニバル クリスマス イースター 
__label__社会 , 韓国 ・ ソウル の 江南 地区 に ある 1989 年 に 誕生 し た 同国 最大 級 の テーマパーク は 「 ○ ○ ○ ワールド アドベンチャー 」 ？ ( 3 文字 ) ロッテ 
__label__社会 , 次 の 文字 列 を 順に 選ん で 毎年 6 月 に 岩手 県 で 行わ れる 伝統 行事 の 名前 に し なさい 馬 グチャグ コ チャ 
__label__社会 , ケニア 、 ウガンダ 、 タンザニア の 公用 語 に なっ て いる 、 アフリカ 東部 で 話さ れ て いる 言語 は ○ ○ ○ ○ 語 ？ ○ を 答え なさい スワヒリ 
__label__社会 , 中部 国際 空港 の 愛称 は 「 ○ ○ ○ レア 」 ？ ○ を 答え なさい セント 
__label__社会 , 南極 の 昭和 基地 で は 観測 史上 気温 が プラス に なっ た こと は 1 度 も ない 
__label__社会 , [ 画像 問 ] これ に 名前 を 由来 する 東部 鉄道 の 特急 列車 の 愛称 は ？ （ 華厳 滝 ） け ご ん 
__label__社会 , 100 カペイカ を 1 と する ロシア の 通貨 単位 は ？ ルーブル 
__label__社会 , 東京 ・ 銀座 の 「 昭和 通り 」 は 昭和 に 入っ て から 完成 し た 
__label__社会 , 淡路島 に ある 3 つ の 市 は 淡路 市 ・ 洲本 市 と 、 面積 ・ 人口 共 に 最大 で ある ○ ○ ○ ○ 市 ？ ひ ら が な 6 文字 で 答え なさい みな みあわ じ 
__label__社会 , 次 の 国際 機構 を 加盟 国 の 数 が 多い 順 に 選び なさい 東南アジア 諸国 連合 欧州 連合 アフリカ 連合 
__label__社会 , 木造 の 空港 ビル を 持つ 北海道 に ある 日本 最 東端 の 空港 は 「 ○ ○ ○ 空港 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい なか しべつ 
__label__社会 , 「 フランス 人 に 死 を 、 これ は イタリア の 叫び だ 」 という 言葉 が 名前 の 由来 だ という 説 も ある シチリア 島 発祥 の 犯罪 組織 は ？ マフィア 
__label__社会 , 毎年 6 月 に 「 YOSAKOI ソーラン 祭り 」 が 行わ れる の は 北海道 で ある 
__label__社会 , 次 の 格安 航空 会社 を 拠点 と し て いる 空港 ごと に グループ 分け し なさい 成田空港 関西国際空港 ジェット スター ・ ジャパン ピーチ・アビエーション エア アジア ・ ジャパン 
__label__社会 , 日本 の すべて の 都道府県 に 空港 が ある 
__label__社会 , 日本 で 初めて 冷房 が 導入 さ れ た 電車 は 南海電鉄 の 車両 で ある 
__label__社会 , 国家 公務員 の 採用 試験 を 大きく 3 つ に 分ける と 、 総合 職 試験 、 一般 職 試験 と ○ ○ 職 試験 ？ ○ を 答え なさい せ ん もん 
__label__社会 , 小沢 一郎 の 側近 として 活躍 し 自由党 幹事 長 、 民主党 幹事 長 を 歴任 し た 人物 で 、 鳩山 内閣 で は 財務 大臣 を 務め た の は ？ ( 4 文字 ) 藤井 裕久 
__label__社会 , 次 の うち 、 日本 の 鉄道 で 子供 料金 が 大人 料金 と 同額 で ある もの を 全て 選び なさい ライナー 券 乗車 整理 券 特急 券 
__label__社会 , 金融 取引 の ひとつ に 「 FX 」 が あり ます が これ は なんと いう 言葉 の 略 ？ Federal Exite Foreign Exchange Fire Fox Full Max 
__label__社会 , 高速 道路 の 単調 な 運転 環境 により 運転 者 に 起こる 、 眠く なっ たり ぼんやり し たり する 催眠 現象 は ハイウエー ・ ○○○○○○？ ヒプノーシス 
__label__社会 , 東京 都 の 区 の 数 は ○ ○ ？ ○ を 答え なさい 23 
__label__社会 , ヨーロッパ の 国 「 オランダ 」 の 「 オランダ 」 という 呼び名 は 日本 で しか 使わ れ て い ない 
__label__社会 , 東京 に ある 国立 大学 の 名前 に は すべて 「 東京 」 が つく 
__label__社会 , 奈良 県 桜井 市 に ある 真言宗 豊山 派 の 総本山 で 、 境内 に ある 牡丹 の 景観 で 有名 な の は ○ ○ 寺 ？ ( 2 文字 ) 長谷 
__label__社会 , 国連 の 専門 機関 で 「 UNU 」 と 略さ れる の は ？ 国際 海事 機関 国連大学 万国 郵便 連合 国際 電気 通信 連合 
__label__社会 , 次 の うち 、 北海道 と 面し て いる 海 を 全て 選び なさい 太平洋 オホーツク 海 日本海 
__label__社会 , 地域 の 活性 化 を 目的 に 1981 年 に 始まっ た 、 東京 ・ 下町 の 夏 の フィナーレ を 飾る 祭り と いえ ば 「 浅草 ○○○○○○○○」？ サンバ カーニバル 
__label__社会 , 横浜 市 が ある の は ○ ○ ○ 県 ？ ○ の 漢字 を ひ ら が なで 答え なさい かな が わ 
__label__社会 , 2009 年 12 月 に 第 1 回 が 開催 さ れ た 日本 初 の 「 商店 街 検定 」 は 秋葉原 電気 街 検定 で ある 
__label__社会 , 1983 年 に オープン し た 日本 で 最初 と なる 写真 美術館 は 土門 拳 記念 館 で ある 
__label__社会 , 1970 年 に 開催 さ れ た 大阪 万博 の テーマ は 「 人類 の ○○○○○」？ ひ ら が な 8 文字 で 答え なさい しんぽ と ちょう わ 
__label__社会 , 日本 の 「 固定 資産 税 」 は 国税 で ある 
__label__社会 , 香川 県 で うどん の お 店 を 案内 する 「 うどん タクシー 」 は タクシー の 上 の 提灯 も もちろん うどん の 形 を し て いる 
__label__社会 , 国民総生産 を アルファベット 3 文字 で 表す と 「 GNP 」 です が 国内 総 生産 を アルファベット 3 文字 で 表す と 「 ○○○」？○ を 答え なさい GDP 
__label__社会 , 中央 委員 会 議長 中央 委員 会 書記 局長 中央 委員 会 国会 対策 委員 長 中央 委員 会 幹部 会 委員 長 日本 共産党 公明党 自由民主党 社会民主党 
__label__社会 , かなで 16 文字 と 地下鉄 の 駅名 で 日本一 長い 福岡 県 に ある 駅 は ？ 馬出九大病院前 駅 
__label__社会 , 現在 、 アメリカ の 国務 長官 を 務め て いる 女性 政治 家 は ○ ○ ○ ○ ・ クリントン ？ ヒラリー 
__label__社会 , 次 の 世界 の 山 と それ が 位置 する 国 の 正しい 組み合わせ を 選び なさい ローガン アイガー キリマンジャロ タンザニア スイス カナダ 
__label__社会 , 俳優 ・ 岡田 真澄 の 叔母 が その モデル の 、 北欧 の 観光 名所 で ある 銅像 は 「 ○ ○ ○ の 像 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい にん ぎょ ひめ 
__label__社会 , 日本 の 道路 の 基点 と なっ て い ます 日本橋 
__label__社会 , 次 の 衆議院 の 常任 委員 会 を 委員 数 の 多い 順 に 選び なさい 議員 運営 委員 会 文部 科学 委員 会 厚生 労働 委員 会 
__label__社会 , 次 の 人物 を 、 肖像 が 描か れ た 紙幣 の 額面 ごと に グループ 分け し なさい 二 千 円 札 五 百 円 札 光源氏 岩倉 具視 紫式部 
__label__社会 , 東北 地方 の 県 です 青森 県 
__label__社会 , 日本 の 成田空港 を 表す スリー レター コード は NRT です が 羽田空港 を 表す スリー レター コード は ○○○？○ を 答え なさい HND 
__label__社会 , 日本 で は 沖縄 県 が 生産 量 第 1 位 の 、 砂糖 の 原料 と なる 農作物 は サトウダイコン で ある 
__label__社会 , デューク・エイサス の ヒット 曲 『 女 ひとり 』 に も 扱わ れ て いる 京都 市 左京 区 大原 に ある 有名 な 寺院 は ？ 三 千 院 五 千 院 六 千 院 四 千 院 
__label__社会 , 次 の 国 を 日本 に対する 鉄鉱 石 の 輸出 量 が 多い 順 に 選び なさい ブラジル インド オーストラリア 
__label__社会 , 北 アメリカ の 国 カナダ の 首都 は オタワ で ある 
__label__社会 , 船 に 乗っ て 外国 へ 行く 際 に は パスポート は 必要 ない 
__label__社会 , 秋田 県 大館 市 の 伝統 的 な 工芸 品 で ある 、 柔らかく し た 秋田 杉 の 柾 目板 を 加工 し て 作る 曲 物 細工 は ？ まげ わっぱ 
__label__社会 , トルコ 、 グルジア 、 ロシア 、 ウクライナ 、 ルーマニア ブルガリア に 囲ま れ て いる 海 は ？ 黒海 紅海 カスピ海 北海 
__label__社会 , ロート製薬 、 カゴメ 、 カルビー の 3 社 が 設立 する 、 震災 孤児 の ため の 奨学 基金 は 「 ○ ○ ○ ○ 未来 基金 」 ？ ○ を 答え なさい みちのく 
__label__社会 , アメリカ の 州 で 、 最も 人口 が 多い の は ○○○○○○○ 州 ？ ○ を 答え なさい カリフォルニア 
__label__社会 , 京都 タワー の 高 さ ・ 131 m は 建設 当時 の 京都 市 の 人口 が 約 131 万 人 だっ た こと に ちなん で いる 
__label__社会 , 日本 で は 、 一般 の 道路 を 馬 に 乗っ て 走っ て も かまわ ない 
__label__社会 , 1964 年 の 東海道新幹線 開業 時 に 時刻 表 に 載っ た キャッチ コピー は 「 ○ の ない ジェット機 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい つばさ 
__label__社会 , 次 の うち イギリス に ある 宮殿 を 全て 選び なさい ヴェルサイユ 宮殿 バッキンガム 宮殿 ウェストミンスター 宮殿 
__label__社会 , 次 の 日本 の 鉄道 トンネル を 総 延長 が 長い 順 に 選び なさい 榛名 北陸 大 清水 
__label__社会 , [ 動画 問 ] 次 の うち 日本語 で 「 索道 」 と 呼ば れる の は どっち ？ （ A . 3 本 以上 の ケーブル 、 ゴンドラ | B . 垂直 方向 に 2 本 巻き 取り 、 ケーブルカー ） 
__label__社会 , 1960 年代 に アメリカ の ウエスト バージニア 州 で 目撃 さ れ た 未 確認 生物 は 「 モス マン 」 で ある 
__label__社会 , 次 の うち 、 日本 の 運転 免許 の 区分 に ある もの を 全て 選び なさい 第 二 種 運転 免許 第 三種 運転 免許 第 一種 運転 免許 第 四 種 運転 免許 
__label__社会 , 鷲羽山 ハイランド に ある ジェット コースター です バックナンジャー 
__label__社会 , 地図 の 方角 の 表示 で 「 N 」 と 略さ れる の は 南 で ある 
__label__社会 , [ 画像 問 ] 次 の うち 、 面積 も 人口 も 世界 で 5 番目 に 位置 する の は どっち ？ （ A . ブラジル | B . アルゼンチン ） 
__label__社会 , 前身 は 第 十 七 国立 銀行 合併 時 に は 日本 最大 の 地方銀行 アレコレカード 九州 最大 の 地方銀行 東北銀行 静岡 銀行 千葉銀行 福岡銀行 
__label__社会 , 日本 の 気象庁 は 環境省 の 外局 で ある 
__label__社会 , 氷河 の 浸食 によって できる 谷 は ○ 字 谷 ？ ○ を 答え なさい U 
__label__社会 , 約 1500 種類 の サボテン を 集め た 静岡 県 伊東 市 に ある テーマパーク は 伊豆 ○ ○ ○ ○ ○ 公園 ？ ○ を 答え なさい シャボテン 
__label__社会 , 次 の うち 、 実在 する 都市 を 全て 選び なさい 伊豆 市 伊豆下田 市 伊豆 の 国 市 
__label__社会 , 携帯 電話 から 最 寄 の 高速 道路 の 渋滞 情報 を 聞く ため の 「 ハイウェイ テレフォン 」 の 電話 番号 は 「 #○○○○」？ 8162 
__label__社会 , 国際 連合 の 旗 に 描か れ て いる 地図 の 中心 は 南極 で ある 
__label__社会 , 東京教育大学 を 前身 と する 日本 の 国立 大学 は 一橋大学 で ある 
__label__社会 , 2012 年 7 月 に 、 亀井 亜紀子 、 谷岡 郁子 ら 4 人 の 女性 政治 家 によって 結成 さ れ た 会派 は 「 ○ ○ ○ の 風 」 ？ ○ を 答え なさい みどり 
__label__社会 , 安芸 市 が ある 都道府県 は ○ ○ 県 ？ ○ の 漢字 を ひ ら が なで 答え なさい ひろしま 
__label__社会 , 日本 の 鉄道 で 最も 東 に 位置 する 駅 は 根室 駅 で ある 
__label__社会 , 青函 トンネル 内 に ある 吉岡 海底 駅 は 、 世界一 低い 場所 に ある 鉄道 駅 で ある 
__label__社会 , 廃棄 物 の 処理 や リサイクル に かかわる 産業 を 、 人体 における 血液 の 循環 システム に 例え て 「 動脈 産業 」 という 
__label__社会 , 毎年 7 月 に 「 世界 サンタクロース 会議 」 が 開催 さ れる 都市 は ？ コペンハーゲン オスロ ストックホルム ヘルシンキ 
__label__社会 , 東京 タワー は 1958 年 の 完成 当時 NHK のみ が TV 放送 局 の 電波 塔 として 利用 し て い た 
__label__社会 , エジプト の 世界 遺産 ・ カイロ 旧 市街 に 世界 で 最も 多く ある と いわ れる 、 イスラム教 の 礼拝 堂 は ○○○？○ を 答え なさい モスク 
__label__社会 , 日本 に も かつて 国内 に 時差 が 存在 し た こと が ある 
__label__社会 , JR 東日本 ・ 東海 ・ 西日本 の 3 社 が 発売 し て いる 新幹線 通学 用 の 定期 券 は 「 FREX ・ パル 」 で ある 
__label__社会 , 次 の うち 地中海 に 面し て いる 国 を 全て 選び なさい デンマーク ドイツ ギリシャ 
__label__社会 , ザンビア ・ ジンバブエ 国境 の ザンベジ 川 に あり 、 世界 最大 の 人工 湖 を 有する アフリカ の ダム は ○ ○ ○ ダム ？ ○ を 答え なさい カリバ 
__label__社会 , イタリア の 大都市 で ラツィオ 州 の 州都 は ○○○？○ を 答え なさい ローマ 
__label__社会 , スペイン や ポルトガル が ある の は ○ ○ ○ ○ 半島 ？ ○ を 答え なさい イベリア 
__label__社会 , 次 の うち 国土 地理 院 が 定め て いる 地図 記号 に ある もの を 全て 選び なさい 秘宝 館 図書館 美術館 ゲームセンター 公民館 博物館 
__label__社会 , 岐阜 県 の 世界 遺産 ・ 白川郷 に 見 られる 、 急 傾斜 の 屋根 を 持つ 独特 の 建築 様式 は ○ ○ 造り ？ ○ の 漢字 を ひ ら が なで 答え なさい が っしょ う 
__label__社会 , ネット 証券 を 通じ 、 ある程度 の 利幅 を 狙っ て 様々 な 銘柄 を 数 日 から 数 週間 程度 の 期間 内 で 短期 売買 を 繰り返す 株 取引 の 一種 は ？ スイング トレード 
__label__社会 , 日本 の 空 の 玄関 口 成田 国際 空港 が ある の は どこ の 都道府県 ？ 愛媛 県 大阪 府 千葉 県 東京 都 
__label__社会 , 日本 で は 5 年 ごと に 実施 さ れる 政府 が 国民 の 人口 動 勢 を 把握 する ため に 行う 調査 の こと を 何 という ？ 国勢調査 
__label__社会 , 次 の 国際 空港 と それ が 位置 する 都市 の 正しい 組み合わせ を 選び なさい ジョン ・ レ ノン 空港 ジョン ・ F ・ ケネディ 空港 マルコ ・ ポー ロ 空港 リバプール ベネチア ニューヨーク 
