__label__社会 , エジプト と スーダン の 国境 に 位置 する 、 1970 年 の アスワンハイダム 建設 によって 誕生 し た 人工 湖 は ○ ○ ○ 湖 ？ ( 3 文字 ) ナセル 
__label__社会 , 次 の うち 、 三重 県 の 都市 を 全て 選び なさい 御 木本 市 知多 市 津 市 
__label__社会 , 次 の 文字 列 を 順に 選ん で 第 2 シベリア 鉄道 の 起点 と なっ て いる ロシア の 都市 の 名前 に し なさい ガバニ カヤ エツ ソビ 
__label__社会 , 法隆寺 に ある 夢殿 は 聖徳太子 の お 墓 で ある 
__label__社会 , 秋田 県 の 横手 地方 など で 小正月 に 行わ れる 水神 様 を まつる 行事 は ？ かまくら 
__label__社会 , 1902 年 に 陸軍 の 遭難 事故 が 起こっ た こと で も 知ら れる 青森 県 に ある 火山 群 は ？ 八甲田山 
__label__社会 , ギニア 山地 に 源 を 発し 、 サハラ砂漠 の 南 縁 を 経 て ギニア 湾 に 注ぐ 全長 4184 km という アフリカ の 大河 は ○ ○ ○ ○ ○ 川 ？ ニジェール 
__label__社会 , 次 の 遊園 地 と そこ に ある ジェット コースター の 正しい 組み合わせ を 選び なさい ナガシマスパーランド パルケエスパーニャ 富士急 ハイランド シャトル ループ ピレネー ええ じゃ ない か 
__label__社会 , 建築 家 ・ ヨルン・ウッツォン が デザイン し た シドニー 名物 オペラ ハウス 
__label__社会 , [ 画像 問 ] WHO （ 世界 保健 機構 ） の 旗 に 描か れ て いる 動物 は どっち ？ （ A . ヘビ | B . パンダ ） 
__label__社会 , 日本 の 海岸 線 の 総 延長 は アメリカ の もの より も 長い 
__label__社会 , かつて は 「 嵐 の 岬 」 と 呼ば れ て い た アフリカ 大陸 南西 端 の 岬 は 希望 岬 で ある 
__label__社会 , ビジネス において 企画 立案 者 が その 内容 を 顧客 に 説明 する こと を 何 という ？ プレゼンテーション 
__label__社会 , 現在 、 東洋大学 の 総長 を 務め て いる 政治 家 は 塩川 正 十郎 で ある 
__label__社会 , 中国 と ロシア は 国境 を 接し て いる 
__label__社会 , 半導体 の 生産 が 盛ん な 九州 の 別名 は 「 ○ ○ ○ ○ アイランド 」 ？ ○ を 答え なさい シリコン 
__label__社会 , 次 の うち 実在 する 東京 都 の 都市 を 全て 選び なさい 東 多摩 市 東大和 市 東村山 市 
__label__社会 , ビデオカメラ で 飛ん で いる 虫 を 撮影 する と 残像 が 棒状 に 見える という 、 「 スカイフィッシュ 」 の 正体 説 が ある 現象 は ？ モーションブラー 
__label__社会 , モニュメント バレー カサ・グランデ 化石 の 森 国立 公園 グランドキャニオン 国立 公園 カリフォルニア 州 オレゴン 州 ネバダ 州 アリゾナ 州 
__label__社会 , 次 の 海峡 を 地域 ごと に グループ 分け し なさい アジア アフリカ 南 アメリカ ホルムズ 海峡 モザンビーク 海峡 ドレーク 海峡 
__label__社会 , JR の 普通 乗車 券 で 、 大人 運賃 が 150 円 の 場合 の 子供 運賃 は ○ ○ 円 ？ ○ を 答え なさい 70 
__label__社会 , そこ の 日 中 中間 線 付近 で 中国 が 日本 に 無断 で 「 春暁 」 ガス 田 の 開発 を 進め て いる 海 は どこ ？ 東シナ海 
__label__社会 , アメリカ 、 ワシントン 州 の 州都 は オリンピア で ある 
__label__社会 , 次 の 文字 列 を 順に 選ん で ブラジル の 都市 に し なさい ジャネ リオ イロ デ 
__label__社会 , 次 の 文字 列 を 順に 選ん で 高知 県 の 「 県 の 鳥 」 の 名前 に し なさい イ ロ ヤ チョウ 
__label__社会 , 次 の 文字 列 を 順に 選ん で 中国 の 最高 議決 機関 の 名前 に し なさい 大会 全国 代表 人民 
__label__社会 , ヨーロッパ の 国 で 『 God Save The Queen 』 を 国歌 と する の は イギリス です が 『 La Marseillaise 』 を 国家 と する の は ？ イタリア イギリス フランス スペイン 
__label__社会 , 「 ウォン 」 を 通貨 単位 と する 国 を 1 つ 答え なさい かん こく き た ちょう せ ん 
__label__社会 , 東京 証券 取引 所 で は 1 年 365 日 休み 無く 毎日 、 株 取引 が 行わ れ て いる 
__label__社会 , 世界 遺産 に なっ て いる エジプト の 古代 都市 テーベ に は 有名 な 「 王家 の 谷 」 の 他 に 「 王妃 の 谷 」 も ある 
__label__社会 , 京都 に ある 2 つ の 離宮 、 桂 離宮 と 修学院 離宮 は 共に 江戸 時代 に 造ら れ た 
__label__社会 , 作家 の スタンダール や 映画 監督 の トリュフォー が 埋葬 さ れ て いる パリ 市内 の 墓地 は モンマルトル 墓地 で ある 
__label__社会 , スイス と イタリア の 国境 に そびえる マッターホルン の フランス語 で の 呼び名 は ？ モンセルバン 
__label__社会 , 船 の 操縦 で 、 左 に まわる よう に かじ を 取る こと を 「 おもかじ 」 という 
__label__社会 , 公用 語 として 、 最も 多く の 人々 に 用い られ て いる 言語 は 中国語 で ある 
__label__社会 , [ 画像 問 ] 次 の うち 、 戦後 GHQ の 本部 が 置か れ た こと も ある 建物 は どっち ？ （ A . 比較的 白い 、 真ん中 に 緑 の 車両 、 明治生命 館 | B . 起伏 の ある 飾り が 少ない 、 右 下 に バス 、 第一生命 館 ） 
__label__社会 , 川 の 上流 と 下流 ふつう 流れ が 速い の は 下流 で ある 
__label__社会 , 日本 の 歴代 内閣 総理 大臣 に 複数 登場 する 苗字 を 1 つ 答え なさい は と やま た なか ふく だ かとう 
__label__社会 , 第 266 代 ローマ 教皇 ・ フラン シスコ は 史上 初 の 南米 出身 の ローマ 教皇 で ある 
__label__社会 , 北海 と バルト海 の 間 に 突き出 た デンマーク の 半島 ユトランド 
__label__社会 , スリナム 共和 国 は 南 アメリカ の 国 で ある 
__label__社会 , 2007 年 6 月 に 世界 遺産 に 登録 さ れ た 島根 県 の 遺跡 は ？ 石見 銀山 
__label__社会 , 武田薬品工業 の 「 アリナミン A 」 の 「 A 」 と は ビタミン A の こと を 意味 し て いる 
__label__社会 , 核 施設 の 査察 など を 行う 国際 原子力 機関 を アルファベット 4 文字 で 略す と ？ ( 4 文字 ) IAEA 
__label__社会 , 防衛庁 の 広報 キャラクター は 男の子 の 「 ピクルス 王子 」 と 女の子 の 「 ○ ○ ○ ちゃん 」 ？ ○ を 答え なさい パセリ 
__label__社会 , 次 の 国 と 、 その 国 の 共産党 が 発行 し て いる 機関 紙 の 正しい 組み合わせ を 選び なさい 中国 日本 ベトナム 人民日報 ニャンサン しんぶん 赤旗 
__label__社会 , 韓国 と 北朝鮮 で 国土 面積 が 広い の は 韓国 で ある 
__label__社会 , ドイツ の 高速 自動車 専用 道路 は ○○○○○○？○ を 答え なさい アウトバーン 
__label__社会 , 日本 の 裁判 員 制度 で 裁判 員 として 参加 し て いる 人 に は 裁判 中 、 専用 の 法服 が 貸与 さ れる 
__label__社会 , 2008 年 に 、 女性 として 初めて 自民党 の 総裁 選 に 立候補 し た 政治 家 は ？ フルネーム で 答え なさい こい け ゆり こ 
__label__社会 , 銀行 から お金 を 借りる 時 など に 設定 する 抵当 権 の こと モーゲージ 
__label__社会 , モンゴル に ある 国際 空港 と いえ ば フビライ・ハーン 空港 で ある 
__label__社会 , 日本 最大 の 島 で ある 本州 は 世界 の 島 の 中 で 面積 トップ 10 に 入っ て いる 
__label__社会 , 日本 の 都市 で 四日市 市 が ある の は ○ ○ 県 ？ ○ の 漢字 を ひ ら が なで 答え なさい みえ 
__label__社会 , ゆう ちょ 銀行 の 定額 貯金 における 預入 の 金額 は 100 円 単位 で ある 
__label__社会 , 東京 の 浅草 、 浅草寺 に ある 雷門 の 巨大 提灯 は 、 非常時 に 折りたたむ こと が できる 
__label__社会 , 次 の 政令 指定 都市 を 人口 が 多い 順 に 選び なさい 仙台 市 大坂 市 名古屋 市 
__label__社会 , [ 画像 問 ] 次 の うち ， バチカン 市 国 の 国旗 は どっち ？ （ A . 上 が 白 、 下 が 水色 | B . 左 が 黄色 、 右 が 白 、 比較的 正方形 ） 
__label__社会 , 京都 三 大祭 の 一つ 葵祭 の 別名 は 「 北 祭 」 で ある 
__label__社会 , 遊牧民 が 住む まんじゅう 型 の 組立 式 住居 を 中国 語 で は パオ と いい ます が モンゴル 語 で は 何 という ？ イグルー パオ ユルト ゲル 
__label__社会 , 消費 者 の 求める 商品 や サービス を 調査 し 、 生産 者 から 消費 者 へ の 流通 を スムーズ に する 活動 の こと を 一般 的 に 何 という ？ マーケティング 
__label__社会 , 次 の 大洋 と それ に 付属 する 海 の 正しい 組み合わせ を 選び なさい インド洋 大西洋 太平洋 ティモール 海 ノルウェー 海 フィリピン 海 
__label__社会 , 東京大学 の シンボルマーク に なっ て いる 植物 は サクラ で ある 
__label__社会 , 次 の 地図 の 図法 と 投影 する 対象 に 基づく 分類 の 正しい 組み合わせ を 選び なさい ミラー 図法 ボンヌ 図法 モルワイデ 図法 擬円 筒 図法 円筒 図法 円錐 図法 
__label__社会 , 中国 語 で 「 裏 海 」 と 呼ば れる ヨーロッパ に ある 塩 湖 は アラル海 で ある 
__label__社会 , 中央 アメリカ で 最も 面積 が 大きい 湖 は ニカラグア 湖 で ある 
__label__社会 , 次 の お 祭り を あてはまる もの ごと に グループ 分け し なさい 京都 三 大 祭り 大阪 三 大 祭り 江戸 三 大 祭り 神田 祭 住吉 祭 時代 祭 祇園祭 
__label__社会 , 2001 年 4 月 1 日 に 施行 さ れ た 「 特定 家庭 用 機器 再 商品 化 法 」 の 通称 は 「 家電 ○ ○ ○ ○ ○ 法 」 ？ ○ を 答え なさい リサイクル 
__label__社会 , 東京 の 地名 、 御茶ノ水 は 江戸 時代 に 御 茶屋 が 多く あっ た こと から 命名 さ れ た 
__label__社会 , ある 国 で 消費 さ れる 食料 の うち どの 程度 が 国内 で 生産 さ れる か を 示す 指標 は 「 食料 ○ ○ 率 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい じ きゅう 
__label__社会 , 上 の 公園 の 西郷 隆盛 像 が 連れ て いる 犬 の 名前 は ○ ○ ？ ○ を 答え なさい ツン 
__label__社会 , 世界 遺産 の 知床 は 、 これ が 接岸 する 世界 最南端 の 地域 です りゅう ひょう 
__label__社会 , JR 山手 線 で 時計 回り に 運行 さ れる の は 内回り で ある 
__label__社会 , 通りがかり の 車 に 乗せ て もらっ て 続ける 旅行 の こと です ヒッチハイク 
__label__社会 , 深田 久弥 が 選ん だ 「 日本 百 名山 」 の うち 、 最も 標高 が 高い の は 3776 m の ○ ○ 山 ？ ○ を 答え なさい ふじ 
__label__社会 , 次 の 文字 を 順に 選ん で 産業 機器 を 中心 と する 総合 メーカー の 名前 に し なさい ク タ ボ 
__label__社会 , 2009 年 に 導入 さ れ た 海上 自衛隊 で 最大 の 護衛 艦 です ひ ゅうが 
__label__社会 , [ 画像 問 ] この 国立 墓地 が ある アメリカ ・ バージニア 州 の 郡 は ？ （ 芝生 に 白く 小さい 墓 が 数多く 広がっ て いる ） ( 6 文字 ) アーリントン 
__label__社会 , 韓国 と 北朝鮮 で 人口 が 多い の は 北朝鮮 で ある 
__label__社会 , 大阪 市営 地下鉄 の 路線 で 江坂 駅 と 中百舌鳥 駅 を 結ぶ の は ○ ○ ○ 線 ？ ( 3 文字 ) 御堂筋 
__label__社会 , カジノ で 有名 な アメリカ の 都市 リノ と ラスベガス は 共に ネバダ 州 に ある 
__label__社会 , 次 の うち 、 パリ の 観光 名所 を 全て 選び なさい 凱旋 門 エッフェル塔 ノートルダム 寺院 ポン・デュ・ガール ソカロ 広場 
__label__社会 , 大坂 市 の 市 の 紋章 に は たこ焼き が 描か れ て いる 
__label__社会 , 飛騨 地方 の 伝統 工芸 「 一 位 一刀彫 」 は 内国 博覧 会 で 第 一 位 を 取っ た こと に 名 を 由来 する 
__label__社会 , フランス が 初めて 核 実験 を おこなっ た 場所 は サハラ砂漠 で ある 
__label__社会 , 昭和 天皇 によって 命名 さ れ た 山口 県 に ある 鍾乳洞 です し ゅうほうどう 
__label__社会 , ウイグル 族 の 暴動 で 揺れる 中国 の 地域 は 「 ○ ○ ウイグル 自治 区 」 ？ 新 疆 
__label__社会 , 日本 で 警察 へ の 緊急 通報 用 電話 番号 が 「 110 」 に 統一 さ れ た の は 第 二 次 世界 大戦 後 で ある 
__label__社会 , [ 画像 問 ] 次 の うち 鎌倉 の 大仏 は どっち ？ （ A . 屋内 に あり 右手 を 上げ て いる | B . 屋外 に あり 座禅 を 組ん で いる ） 
__label__社会 , 次 の 観光 名所 を 国 ごと に グループ 分け し なさい イタリア フランス アメリカ サクレ・クール 寺院 イオラニ 宮殿 青 の 洞窟 
__label__社会 , 次 の 島国 を 、 その 国 が 浮かぶ 大洋 ごと に グループ 分け し なさい 太平洋 大西洋 インド洋 パラオ マダガスカル カーボベルデ 
__label__社会 , ハワイ 島 に ある 火山 です マウナロア 
__label__社会 , 世界 遺産 に 登録 さ れ て いる イスファハン の イマーム 広場 が 位置 する 国 は イラン で ある 
__label__社会 , 次 の うち 、 東京 23 区内 に ある 遊園 地 を 全て 選び なさい 花やしき よみうりランド と し まえん 東京 サマー ランド 
__label__社会 , 渥美 半島 と 知多半島 に 囲ま れ た 愛知 県 に ある 湾 は ○ ○ 湾 ？ ○ の 漢字 を ひ ら が なで 答え なさい みか わ 
__label__社会 , イスラム教 の 開祖 は ？ マホメット 
__label__社会 , 下北 半島 や 津軽 半島 が ある の は 青森 県 です が 北松浦半島 や 島原半島 が ある の は 何 県 ？ 長崎 県 青森 県 鹿児島 県 愛知 県 
__label__社会 , 次 の 山手 線 の 駅 を 所在地 で ある 東京 の 区 ごと に グループ 分け し なさい 豊島 区 渋谷 区 北 区 代々木 駅 田端 駅 駒込 駅 
__label__社会 , 巨大 キリスト 像 が 立つ リオデジャネイロ の 丘 です コルコバード 
__label__社会 , アラビア 語 で 「 2 つ の 海 」 という 意味 の 名前 を もつ アジア の 国 は オマーン で ある 
__label__社会 , 通称 を 「 ドゥオーモ 」 という イタリア 、 フィレンツェ の 象徴 で ある 大 聖堂 は サンタ ・ マリア ・ デル ・ ○ ○ ○ ○ ○ 大 聖堂 ？ ( 5 文字 ) フィオーレ 
__label__社会 , 2011 年 に 、 那須 御用邸 の 一部 を 一般 開放 する 形 で 開園 し た 施設 は 「 那須 ○ ○ の 森 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい へ いせ い 
__label__社会 , 大河ドラマ 『 江 』 により 人気 と なっ た 、 日本 最古 の 安産 祈願 の 寺 帯解 寺 
__label__社会 , スペイン の 都市 アンダルシア 州 意味 は 「 ザクロ 」 アルハンブラ 宮殿 グラナダ セビリア カディス マラガ 
__label__社会 , [ 画像 問 ] 次 の うち 日本 最古 の 商店 街 の 一つ と も いわ れる 浅草 の 仲見世 は どっち ？ （ A . 屋外 、 緑 の 旗 が 見える | B . 屋根 が あり 、 沢山 の 人 ） 
__label__社会 , 次 の お 祭り を それ が 行わ れる 地域 ごと に グループ 分け し なさい 四国 地方 中国 地方 よ さ こい 祭り うわ じ ま 牛 鬼 まつり 綿 帯 橋 まつり 
__label__社会 , 「 7 つ の 丘 の 都 」 と 呼ば れる イベリア 半島 の 都市 は リスボン で ある 
__label__社会 , 東京 以外 の 都市 で 国会 が 開催 さ れ た こと が ある 
__label__社会 , [ 画像 問 ] この 伊豆急行 の 電車 に 付い て いる 愛称 は 「 リゾート ○ ○ 」 ？ （ 白い 車両 に 赤 と 青 の デザイン 、 側面 に 青地 で 答え ） 21 
__label__社会 , タイ の 島 プロムテープ 岬 シャロン 寺院 パトンビーチ スマトラ島 ボルネオ 島 プーケット 島 サムイ 島 
__label__社会 , [ 画像 問 ] 政治 家 ・ 野田 佳彦 が 、 2011 年 の 民主党 代表 選 の 投票 前 の 演説 で 自ら を なぞらえ た 魚 は ？ （ A . メダカ | B . ドジョウ ） 
__label__社会 , 毎年 6 月 に 「 YOSAKOI ソーラン 祭り 」 が 行わ れる の は 高知 県 で ある 
__label__社会 , 2012 年 に 成立 し た 改正 高 年齢 者 雇用 安定 法 は 、 企業 に 希望 者 全員 を 何 歳 まで 再 雇用 する こと を 義務付け た ？ 数字 で 答え なさい 65 
__label__社会 , 普通 失踪 の 場合 、 失踪 人 を 死亡 と みなす の は 、 その 人 の 生死 が ○ 年間 不明 に なっ て から ？ ○ を 答え なさい 7 
__label__社会 , 日本 で 「 中央 アルプス 」 と 呼ば れる の は 木曾 山脈 です が 「 北アルプス 」 と 呼ば れる の は ○ ○ 山脈 ？ ○ の 漢字 を ひ ら が なで 答え なさい ひだ 
__label__社会 , 在日 米 軍 基地 で 普天間 基地 が ある の は 沖縄 県 です が 岩国 基地 が ある の は ○ ○ 県 ？ ○ の 漢字 を ひ ら が なで 答え なさい や ま ぐち 
__label__社会 , 冬期 五輪 も 開催 さ れ た アメリカ ・ ユタ 州 の 州都 は ○ ○ ○ ○ ○ ○ シティ ？ ○ を 答え なさい ソルトレイク ソルトレーク 
__label__社会 , アラビア 語 で 「 神学 生 」 という 意味 が ある 、 イスラム 原理 主義 の 団体 は 「 ○○○○」？○ を 答え なさい タリバン 
__label__社会 , 次 の 政治 家 と 、 出身 大学 の 正しい 組み合わせ を 選び なさい 菅 直人 野田 佳彦 鳩山 由紀夫 早稲田大学 東京 大学 東京工業大学 
__label__社会 , 地下鉄 の こと を ニューヨーク で は 一般に ○ ○ ○ ○ ○ という ？ ○ を 答え なさい サブ ウェイ 
__label__社会 , 1963 年 に 門司 市 ・ 小倉 市 など 5 市 の 合併 で 誕生 し た 、 福岡 市 に ある 政令 指定 都市 は ○ ○ ○ 市 ？ ○ の 漢字 を ひ ら が なで 答え なさい きた きゅうしゅ う 
__label__社会 , 刃物 や 食器 の 生産 で 有名 な ドイツ 西部 の 都市 は ？ ゾーリンゲン 
__label__社会 , 石油 や 天然 ガス など を 輸送 する ため の 管 パイプライン 
__label__社会 , 新幹線 の 車両 1992 年 に 登場 2012 年 3 月 に 引退 初代 「 のぞみ 」 用 に 開発 さ れる 300 系 800 系 0 系 N 700 系 
__label__社会 , 日本 の 自衛隊 で 、 護衛 艦 や 潜水艦 を 保有 する の は ○ ○ 自衛隊 ？ ○ の 漢字 を ひ ら が なで 答え なさい かい じ ょう 
__label__社会 , 2010 年 4 月 に 平沼 赳夫 ら によって 設立 さ れ た 日本 の 政党 は 「 たちあがれ ○ ○ 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい にっぽん 
__label__社会 , 日本 の 宗教 団体 「 PL 教団 」 の 「 PL 」 を 正式 に いう と ○ ○ ○ ○ ○ ○ リバティー ？ ○ を 答え なさい パーフェクト 
__label__社会 , 鹿児島 県 の 種子島 と 屋久島 で 森林 鉄道 が 運行 さ れ て いる の は 屋久島 で ある 
__label__社会 , アメリカ 、 デラウェア 州 の 州都 は ドーバー で ある 
__label__社会 , アメリカ ・ アーカンソー 州 に 本社 を 置く 、 世界 最大 の スーパーマーケット チェーン は ○ ○ ○ マート ？ ○ を 答え なさい ウォル 
__label__社会 , 日本 の 国会 議員 が 公費 で 雇う こと が できる 公設 秘書 の 数 に 上限 は ない 
__label__社会 , 「 白魔 術 」 と 「 黒 魔術 」 。 悪霊 の 助け を 借り て 行う の は 「 白魔 術 」 で ある 
__label__社会 , 2012 年 7 月 2 日 に 民主党 に 離党 届 を 提出 し た 議員 の 数 は 衆議院 議員 と 参議院 議員 で は 衆議院 議員 の 方 が 多かっ た 
__label__社会 , 世界 最大 を 誇る アマゾン川 の 流域 面積 は 、 南 アメリカ大陸 の 総 面積 の 半分 以上 を 占める 
__label__社会 , 南太平洋 に 浮かぶ ソシエテ 諸島 の 主 島 で 「 南海 の 楽園 」 と も 呼ば れる の は ○ ○ ○ 島 ？ ○ を 答え なさい タヒチ 
__label__社会 , 三 大 人種 区分 で アジア 系 の 黄色 人種 は モンゴロイド と いい ます が ヨーロッパ 系 の 白色 人種 は ○○○○○○ という ？ ○ を 答え なさい コーカソイド 
__label__社会 , 松江 市 を 県庁 所在地 と する 県 は 鳥取 県 で ある 
__label__社会 , その 美し さ は 「 ここ を 見 て から 死ね 」 と 言わ れる ほど で 世界 三 大美 港 の 一つ に も 数え られる イタリア の 都市 は ？ ( 3 文字 ) ナポリ 
__label__社会 , 次 の 日本 の 世界 遺産 候補 「 長崎 の 教会 群 と キリスト 教 関連 遺跡 に 含ま れる 施設 と 、 その 所在地 の 正しい 組み合わせ を 選び なさい 」 田平 天主堂 大浦 天主堂 旧 五輪 教会堂 平戸 市 長崎 市 五島 市 
__label__社会 , 2027 年 開業 の リニア 中央 新幹線 で 中間 駅 の 候補 地 と なっ た 岐阜 県 の 都市 は ○ ○ ○ 市 ？ ○ の 漢字 を ひ ら が なで 答え なさい なかつ が わ 
__label__社会 , 北海道 の 道 の 花 は ハマナス で ある 
__label__社会 , 湘南 市 が ある 日本 の 都道府県 は 滋賀 県 で ある 
__label__社会 , 第 44 代 アメリカ 大統領 バラク・オバマ の 所属 政党 は 共和党 で ある 
__label__社会 , 彫刻 家 エリクソン による 「 人魚 姫 の 像 」 が 観光 名所 と なっ て いる 国 は ベルギー で ある 
__label__社会 , 次 の 文字 列 を 順に 選ん で 名古屋 市 に 本社 を 置く CD や ビデオ の 卸売り 企業 の 社名 に し なさい ロジ シー エス ネット 
__label__社会 , 1992 年 に アメリカ 第 42 代 大統領 に 就任 し た 人物 は ブッシュ で ある 
__label__社会 , オーストラリア ・ ビクトリア 州 の 州都 で 、 人口 が 同国 ２ 番目 で ある 都市 は ？ ( 5 文字 ) メルボルン 
__label__社会 , フジテレビ の 会長 を 務め て い ます 日枝 久 
__label__社会 , 日本 において 、 世界 遺産 の うち の 文化 遺産 候補 を 担当 する 省庁 は 文化庁 で ある 
__label__社会 , 漢字 で は 「 伯 林 」 と 書く ヨーロッパ の 都市 は ○○○○？○ を 答え なさい ベルリン 
__label__社会 , 数 多く の 寺院 が 町中 に 見 られる こと から 「 八 百 八 寺 」 という 異名 を 持つ 日本 の 都市 は どこ ？ 鎌倉 宇治 京都 大津 
__label__社会 , [ 画像 問 ] 次 の うち ドイツ は どっち ？ （ A . 左側 に ある くびれ が ある よう な 国土 | B . 右側 に ある ） 
__label__社会 , 検察庁 に 提出 する 告訴 状 や 告発 状 を 手がける 者 の 職業 は 司法 書士 で ある 
__label__社会 , 擬人 化 さ れ た 日本 の 川 の 別名 で 利根川 と いえ ば ○ ○ 太郎 ？ ○ の 漢字 を ひ ら が なで 答え なさい ばん どう 
__label__社会 , 国土 地理 院 発行 の 地図 で 使わ れる 記号 で 、 機械 の 歯車 に 由来 する の は 工場 です が 歯車 および 電気 スイッチ に 由来 する の は ○○○？○ の 漢字 を ひ ら が なで 答え なさい はつ でん しょ 
__label__社会 , 世界 的 な 海岸 保養 都市 で カンヌ 、 ニース が ある 国 は フランス です が リビエラ が ある 国 は ○○○○？○ を 答え なさい イタリア 
__label__社会 , 2012 年 に 再 稼働 が 論議 を 呼ん だ 大飯原発 が ある おおい 町 は ○ ○ 県 に ある 町 ？ ○ の 漢字 を ひ ら が なで 答え なさい ふく い 
__label__社会 , 2002 年 に ノーベル 平和 賞 を 受賞 し た 、 アメリカ合衆国 の 元 大統領 は ジミー ・ ○○○○？○ を 答え なさい カーター 
__label__社会 , 2004 年 7 月 に 、 日本 で 12 番目 の ユネスコ 世界 遺産 に 登録 さ れ た の は 「 ○ ○ ○ ○ の 霊場 と 参詣 道 」 ？ 紀伊 山地 
__label__社会 , 旧 国有 鉄道 から その 業務 を 引き継ぎ 、 JR が 営業 を 開始 し た の は 西暦 何 年 ？ 1987 
__label__社会 , 次 の うち 、 中国 と 国境 を 接し て いる 国 を 全て 選び なさい モンゴル ミャンマー イラン 
__label__社会 , トルコ の 世界 遺産 サフランボル 市街 の 名前 は 香料 の サフラン に 由来 する 
__label__社会 , 次 の 島 を 属する 都道府県 ごと に グループ 分け し なさい 香川 県 広島 県 小豆島 因島 厳島 
__label__社会 , 「 国鉄 」 こと か つて の 日本 国有 鉄道 の アルファベット 3 文字 の 略称 は ？ ( 3 文字 ) JNR 
__label__社会 , 2011 年 12 月 に 国土 交通省 が 着工 認可 を 決め た 北海道 新幹線 の 区間 は 「 新 ○ ○ ― 札幌 間 」 ？ ○ の 漢字 を ひ ら が なで 答え なさい は こ だ て 
__label__社会 , 兵庫 県 西宮 市 に 本部 を 置く 名門 私大 は 「 ○ ○ ○ ○ 大学 」 ？ 関西学院 
__label__社会 , 交通 の 要地 で ヨーロッパ の 十字路 と も 呼ば れる フランス 、 アルザス 地方 の 都市 は ？ ストラスブール 
__label__社会 , アメリカ で 警察 犬 の こと を 意味 する 俗称 で 、 映画 の タイトル に も なっ た の は ○ ○ ？ ○ を 答え なさい K 9 
__label__社会 , 次 の JR の 特急 列車 と 運行 し て いる 都道府県 の 正しい 組み合わせ を 選び なさい スーパー あずさ スーパー お おぞ ら スーパー おき 山口 県 長野 県 北海道 
__label__社会 , 日本 の 有名 な 繁華 街 で すすきの が ある 都市 は 札幌 市 です が 豊前田 が ある 都市 は ？ 鹿児島 市 下関 市 札幌 市 金沢 市 
__label__社会 , 現在 の 皇太子 殿下 が 卒業 し た の は 学習 院 の 法学部 で ある 
__label__社会 , 次 の うち 、 静岡 県 に ある ダム を 全て 選び なさい 神通川 第 一 ダム 秋葉 ダム 大井 川 ダム 
__label__社会 , 中国 の 香港 島 と 九 龍 半島 の 間 に 位置 する 湾 は エリザベス ・ ハー バー で ある 
__label__社会 , 2012 年 に 東京 ・ 渋谷 に 開校 し た 日本 初 の 自転車 の 専門 学校 は 「 東京 サイクル ○ ○ ○ ○ 専門 学校 ？ 」 ○ を 答え なさい デザイン 
__label__社会 , JR 東海 の 管内 で 運営 さ れ て いる コンビニエンスストア です ベルマート 
__label__社会 , 「 近代 宇宙 旅行 協会 」 を 設立 し た 、 日本 の UFO 研究 の 先駆 者 は 高梨 純一 で ある 
__label__社会 , [ 画像 問 ] この 北海道 の 島 は ？ （ 稚内 周辺 の 4 つ の 島 の うち 、 一番 左下 の 島 ） 天売 島 利尻 島 礼文 島 奥尻 島 
__label__社会 , ドイツ 中 北部 、 エルベ 川 沿岸 に 位置 する 河港 都市 で 、 ゲーリケ による 半球 の 実験 の 名前 に も なっ て いる の は どこ ？ マクデブルク 
__label__社会 , 国際線 を 合わせ て 利用 する 際 国内線 で 移動 する 運賃 を 割引い た もの を 「 国内 ○ ○ ○ ○ 運賃 」 という ？ アドオン 
__label__社会 , 次 の 文字 を 順に 選ん で 南 アメリカ大陸 に ある 巨大 な 滝 の 名前 に し なさい ア イ グ ス 
__label__社会 , 東京大学 の シンボルマーク に なっ て いる 植物 は イチョウ で ある 
__label__社会 , もともと は 関西電力 の 専用 鉄道 だっ た 、 観光 で 人気 の ある 黒部峡谷鉄道 の 愛称 と いえ ば 「 ○ ○ ○ ○ 電車 」 ( 4 文字 ) トロッコ 
__label__社会 , 皇室 の お子様 に対し 生後 7 日 目 に 行わ れる 儀式 です 浴 湯 の 儀 
__label__社会 , アジア と ヨーロッパ に またがる 大陸 は ○ ○ ○ ○ ○ 大陸 ？ ○ を 答え なさい ユーラシア 
__label__社会 , 日本国 憲法 の 規定 に 基づき 国会 議員 に 支払わ れる 報酬 の 呼称 は ○ ○ ？ ○ の 漢字 を ひ ら が なで 答え なさい さ いひ 
__label__社会 , イギリス の 金融 会社 です バークレイズ 
__label__社会 , 2012 年 に 世界 遺産 に 登録 さ れ た キリスト の 生誕 地 と さ れる 「 聖 誕教 会 」 が ある 都市 は ○○○○○？○ を 答え なさい ベツレヘム 
__label__社会 , ミディ 運河 サン・テミリオン 地域 アミ アン 大 聖堂 モン ・ サン ・ ミシェル と その 湾 ベルギー の 世界 遺産 オランダ の 世界 遺産 フランス の 世界 遺産 ドイツ の 世界 遺産 
__label__社会 , 有名 な 焼き物 有田焼 の 産地 は 佐賀 県 です が 萩 焼 の 産地 は ○ ○ 県 ？ ○ の 漢字 を ひ ら が なで 答え なさい や ま ぐち 
